address,postcode,source,price_pcm,size_sqft,bedrooms,bathrooms,url,ppsf,district,tier_num,tier,location_score,size_score,ppsf_score,comp_score
"Cornwall Gardens, South Kensington, London, SW7",SW7,knightfrank,5980,1124,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/cornwall-gardens-south-kensington-london-sw7/skq012519115,5.320284697508897,SW7,3,Tier 3: Prime Central,50,14.176829268292689,28.20967532920642,46.193252298749556
"Harrowby Street, W1H 5PT",W1H 5PT,savills,4000,1265,2,2.0,https://search.savills.com/property-detail/gbmorecli230283l,3.1620553359683794,W1H,3,Tier 3: Prime Central,50,41.04420731707317,0.0,45.52210365853659
"Verge Apartments, Dering Street, London, W1S",W1S,knightfrank,11999,1550,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/verge-apartments-dering-street-london-w1s/maq012528252,7.741290322580645,W1S,3,Tier 3: Prime Central,50,4.64939024390244,36.20086382940273,45.42512703665258
"Devonshire Street, W1W 5DX",W1W 5DX,savills,4983,1205,2,2.0,https://search.savills.com/property-detail/gbmorembl250116l,4.135269709543569,W1W,3,Tier 3: Prime Central,50,29.61128048780488,10.789623069144676,45.20045177847478
W11 3RS,W11 3RS,savills,7999,1399,2,2.0,https://search.savills.com/property-detail/gbkerekel200003l,5.717655468191565,W11,4,Tier 4: Broader Market,20,33.422256097560975,34.05113696658076,43.736696532070866
"St Lukes Mews, London, W11",W11,rightmove,7800,1391,2,2.0,https://www.rightmove.co.uk/properties/164846546#/?channel=RES_LET,5.607476635514018,W11,4,Tier 4: Broader Market,20,34.94664634146341,32.43147726380271,43.68906180263306
"Belgrave Mews South, Belgravia, London",,rightmove,7249,1188,2,2.0,https://www.rightmove.co.uk/properties/169639016#/?channel=RES_LET,6.101851851851852,,4,Tier 4: Broader Market,20,26.371951219512198,39.69893142442162,43.035441321966914
"Ethos Sports Centre, 1-7 Princes Gardens, Knightsbridge, London, SW7",SW7,knightfrank,3640,1238,2,2.0,https://www.knightfrank.co.uk/properties/residential/to-let/ethos-sports-centre-1-7-princes-gardens-knightsbridge-london-sw7/knq012564931,2.9402261712439417,SW7,3,Tier 3: Prime Central,50,35.89939024390244,0.0,42.94969512195122
"Elvaston Place, London, SW7",SW7,rightmove,4500,1213,2,2.0,https://www.rightmove.co.uk/properties/170085854#/?channel=RES_LET,3.709810387469085,SW7,3,Tier 3: Prime Central,50,31.13567073170732,4.535251858369066,42.83546129503819
"Newcastle Place, London, W2",W2,knightfrank,7496,1156,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/newcastle-place-london-w2/pod012537963,6.484429065743945,W2,4,Tier 4: Broader Market,20,20.27439024390244,45.32292363312107,42.798656938511755
